#NAME?;NIKKEI 225 STOCK AVERAGE - PRICE INDEX
11.10.54;348,09
12.10.54;344,03
13.10.54;341,78
14.10.54;342,74
15.10.54;340,55
18.10.54;337,8
19.10.54;335,31
20.10.54;333,57
21.10.54;334,59
22.10.54;333,91
25.10.54;333,49
26.10.54;333,49
27.10.54;333,19
28.10.54;332,28
29.10.54;329,04
01.11.54;330,05
02.11.54;330,37
03.11.54;330,37
04.11.54;329,72
05.11.54;328,03
08.11.54;327,41
09.11.54;325,49
10.11.54;321,12
11.11.54;319,63
12.11.54;317,53
15.11.54;316,75
16.11.54;320
17.11.54;323,61
18.11.54;321,75
19.11.54;321,53
22.11.54;322,53
23.11.54;322,53
24.11.54;328,36
25.11.54;332,89
26.11.54;326,85
29.11.54;326,11
30.11.54;326,85
01.12.54;326,12
02.12.54;323,86
03.12.54;324,83
06.12.54;326,9
07.12.54;337,57
08.12.54;341,69
09.12.54;344,68
10.12.54;340,17
13.12.54;337,07
14.12.54;336,2
15.12.54;333,77
16.12.54;331,84
17.12.54;333,09
20.12.54;333,21
21.12.54;335,27
22.12.54;337,97
23.12.54;343,26
24.12.54;347,53
27.12.54;352,57
28.12.54;356,09
29.12.54;356,09
30.12.54;356,09
31.12.54;356,09
03.01.55;356,09
04.01.55;361,1
05.01.55;361,26
06.01.55;366,93
07.01.55;365,84
10.01.55;378,76
11.01.55;376,7
12.01.55;374,8
13.01.55;370,86
14.01.55;372,92
17.01.55;372,49
18.01.55;368,98
19.01.55;365,85
20.01.55;368,84
21.01.55;371,04
24.01.55;376,26
25.01.55;375,64
26.01.55;374,37
27.01.55;372,8
28.01.55;370,78
31.01.55;369,45
01.02.55;371,61
02.02.55;375,85
03.02.55;376,79
04.02.55;375,34
07.02.55;378,34
08.02.55;374,2
09.02.55;380,28
10.02.55;380,46
11.02.55;379,07
14.02.55;376,76
15.02.55;374,63
16.02.55;375,9
17.02.55;376,09
18.02.55;375,03
21.02.55;374,47
22.02.55;371,14
23.02.55;372,31
24.02.55;369,78
25.02.55;368,24
28.02.55;366,99
01.03.55;362,6
02.03.55;362,28
03.03.55;360,4
04.03.55;357,65
07.03.55;353,8
08.03.55;355,99
09.03.55;356,45
10.03.55;357,15
11.03.55;356,88
14.03.55;357,33
15.03.55;356,31
16.03.55;355,37
17.03.55;354,78
18.03.55;353,76
21.03.55;353,76
22.03.55;351,23
23.03.55;350,05
24.03.55;350,88
25.03.55;354,36
28.03.55;346,08
29.03.55;349,19
30.03.55;349,36
31.03.55;351,5
01.04.55;352,31
04.04.55;353,41
05.04.55;351,97
06.04.55;350,7
07.04.55;350,62
08.04.55;349,95
11.04.55;352
12.04.55;353,43
13.04.55;354,85
14.04.55;355,93
15.04.55;354,98
18.04.55;353,63
19.04.55;352,68
20.04.55;351,85
21.04.55;350,03
22.04.55;350,85
25.04.55;349,76
26.04.55;347,25
27.04.55;345,89
28.04.55;346,19
29.04.55;346,19
02.05.55;345,96
03.05.55;345,96
04.05.55;347,68
05.05.55;347,68
06.05.55;349,66
09.05.55;352,43
10.05.55;351,32
11.05.55;348,74
12.05.55;349,04
13.05.55;350,32
16.05.55;351,77
17.05.55;350,23
18.05.55;350,82
19.05.55;350,98
20.05.55;351,2
