#NAME?;MSCI AC WORLD U$ - PRICE INDEX;MSCI EM U$ - PRICE INDEX;MSCI EUROPE U$ - PRICE INDEX;MSCI EAFE U$ - PRICE INDEX;MSCI PACIFIC U$ - PRICE INDEX;S&P 500 COMPOSITE - PRICE INDEX;FTSE 100 - PRICE INDEX;NIKKEI 225 STOCK AVERAGE - PRICE INDEX
19.11.82;;;123,464;175,616;304,283;137,02;;7854,92
22.11.82;;;122,401;176,355;304,283;134,22;;7901,56
23.11.82;;;121,186;174,508;304,283;132,93;;7901,56
24.11.82;;;122,216;176,322;304,283;133,88;;7846,77
25.11.82;;;120,978;176,051;304,283;133,88;;7837,26
26.11.82;;;120,315;175,297;304,283;134,88;;7890,38
29.11.82;;;122,571;177,078;304,283;134,2;;7936,19
30.11.82;;;122,855;176,155;348,13;138,54;;7895,62
01.12.82;;;126,117;180,303;348,13;138,72;;7966,77
02.12.82;;;126,51;180,458;348,13;138,82;;8001,07
03.12.82;;;128,336;182,722;348,13;138,69;;7991,65
06.12.82;;;127,723;183,961;348,13;141,77;;8020,53
07.12.82;;;127,508;184,784;348,13;142,72;;8026,99
08.12.82;;;125,84;183,389;348,13;141,81;;8004,11
09.12.82;;;124,243;180,714;348,13;140;;7945,25
10.12.82;;;125,044;180,718;348,13;139,57;;7870,85
13.12.82;;;123,387;179,002;348,13;139,95;;7885,57
14.12.82;;;126,538;182,755;348,13;137,39;;7913,62
15.12.82;;;124,698;180,822;348,13;135,24;;7882,95
16.12.82;;;125,594;181,143;348,13;135,3;;7828,92
17.12.82;;;126,345;182,084;348,13;137,49;;7865,88
20.12.82;;;125,782;181,311;348,13;136,26;;7858,04
21.12.82;;;125,796;181,498;348,13;138,61;;7810,15
22.12.82;;;126,903;182,613;348,13;138,83;;7772,32
23.12.82;;;126,22;184,16;348,13;139,72;;7830,88
24.12.82;;;126,384;185,085;348,13;139,72;;7904,98
27.12.82;;;127,33;187,532;348,13;142,18;;8015,07
28.12.82;;;128,223;189,18;348,13;140,77;;8016,67
